state_code,county_code,county_name,state_name,geo_center
72,129,San Lorenzo,Puerto Rico,"18 8m 52.791s N, 65 58m 35.2356s W"
27,37,Dakota,Minnesota,"44 40m 18.7479s N, 93 3m 55.5285s W"
19,175,Union,Iowa,"41 1m 39.8294s N, 94 14m 32.565s W"
21,39,Carlisle,Kentucky,"36 51m 11.579s N, 88 58m 15.8116s W"
60,10,Eastern,American Samoa,"14 16m 2.83832s S, 170 37m 38.3975s W"
51,49,Cumberland,Virginia,"37 30m 43.6309s N, 78 14m 41.8023s W"
28,117,Prentiss,Mississippi,"34 37m 5.8349s N, 88 31m 12.3432s W"
42,111,Somerset,Pennsylvania,"39 58m 20.7834s N, 79 1m 41.7801s W"
13,245,Richmond,Georgia,"33 21m 34.676s N, 82 4m 24.772s W"
27,159,Wadena,Minnesota,"46 35m 8.74162s N, 94 58m 9.8682s W"
37,97,Iredell,North Carolina,"35 48m 25.2933s N, 80 52m 24.3762s W"
30,17,Custer,Montana,"46 15m 9.75226s N, 105 34m 18.1595s W"
19,161,Sac,Iowa,"42 23m 10.5373s N, 95 6m 19.4204s W"
19,67,Floyd,Iowa,"43 3m 35.7151s N, 92 47m 20.4121s W"
29,207,Stoddard,Missouri,"36 51m 20.24s N, 89 56m 39.5163s W"
37,71,Gaston,North Carolina,"35 17m 39.6562s N, 81 10m 48.8699s W"
21,99,Hart,Kentucky,"37 17m 59.7363s N, 85 53m 4.95385s W"
20,159,Rice,Kansas,"38 20m 49.7143s N, 98 12m 3.70784s W"
20,135,Ness,Kansas,"38 28m 45.9076s N, 99 54m 58.2472s W"
34,13,Essex,New Jersey,"40 47m 13.9732s N, 74 14m 49.4165s W"
72,17,Barceloneta,Puerto Rico,"18 28m 17.516s N, 66 33m 34.0622s W"
42,45,Delaware,Pennsylvania,"39 55m 0.506678s N, 75 23m 56.0393s W"
6,99,Stanislaus,California,"37 33m 32.8948s N, 120 59m 51.6584s W"
35,25,Lea,New Mexico,"32 47m 31.7377s N, 103 24m 44.9216s W"
42,55,Franklin,Pennsylvania,"39 55m 38.6928s N, 77 43m 16.4817s W"
42,79,Luzerne,Pennsylvania,"41 10m 37.2353s N, 75 59m 20.4939s W"
26,39,Crawford,Michigan,"44 41m 1.00021s N, 84 36m 37.2136s W"
48,307,McCulloch,Texas,"31 11m 55.9361s N, 99 20m 50.9222s W"
29,91,Howell,Missouri,"36 46m 26.4488s N, 91 53m 11.55s W"
72,25,Caguas,Puerto Rico,"18 12m 42.8932s N, 66 3m 2.75553s W"
5,35,Crittenden,Arkansas,"35 12m 28.5737s N, 90 18m 31.9392s W"
31,91,Hooker,Nebraska,"41 54m 57.2853s N, 101 8m 7.20459s W"
51,640,Galax,Virginia,"36 39m 57.7465s N, 80 55m 3.31676s W"
34,31,Passaic,New Jersey,"41 2m 3.50163s N, 74 18m 2.79246s W"
37,103,Jones,North Carolina,"35 1m 18.2093s N, 77 21m 18.6047s W"
21,9,Barren,Kentucky,"36 57m 56.0922s N, 85 56m 1.18797s W"
30,23,Deer Lodge,Montana,"46 3m 38.7726s N, 113 4m 4.23102s W"
53,35,Kitsap,Washington,"47 38m 22.7278s N, 122 38m 57.035s W"
22,71,Orleans,Louisiana,"30 4m 7.11732s N, 89 55m 41.2605s W"
12,39,Gadsden,Florida,"30 34m 46.088s N, 84 36m 48.9576s W"
28,75,Lauderdale,Mississippi,"32 24m 15.4303s N, 88 39m 45.1495s W"
16,27,Canyon,Idaho,"43 37m 30.3133s N, 116 42m 33.3724s W"
20,69,Gray,Kansas,"37 44m 17.5123s N, 100 26m 16.3066s W"
13,111,Fannin,Georgia,"34 51m 50.8128s N, 84 19m 11.4693s W"
37,43,Clay,North Carolina,"35 3m 25.8521s N, 83 45m 0.636161s W"
21,53,Clinton,Kentucky,"36 43m 38.9339s N, 85 8m 9.64882s W"
48,189,Hale,Texas,"34 4m 13.845s N, 101 49m 36.7727s W"
28,61,Jasper,Mississippi,"32 1m 8.80586s N, 89 7m 7.89536s W"
39,47,Fayette,Ohio,"39 33m 35.5788s N, 83 27m 21.9502s W"
78,30,St. Thomas,U.S. Virgin Islands,"18 19m 42.9661s N, 64 58m 1.49803s W"
55,63,La Crosse,Wisconsin,"43 54m 23.5869s N, 91 6m 54.7047s W"
22,21,Caldwell,Louisiana,"32 5m 32.1776s N, 92 6m 59.7812s W"
29,123,Madison,Missouri,"37 28m 41.1438s N, 90 20m 42.0942s W"
13,265,Taliaferro,Georgia,"33 33m 57.927s N, 82 52m 43.5521s W"
34,7,Camden,New Jersey,"39 48m 12.7413s N, 74 57m 35.1157s W"
