state_code,county_code,county_name,state_name,geo_center
47,23,Chester,Tennessee,"35 25m 18.3084s N, 88 36m 48.4616s W"
19,185,Wayne,Iowa,"40 44m 22.0927s N, 93 19m 38.5099s W"
38,63,Nelson,North Dakota,"47 55m 18.0523s N, 98 11m 31.3169s W"
42,85,Mercer,Pennsylvania,"41 18m 7.89738s N, 80 15m 27.7426s W"
17,193,White,Illinois,"38 5m 14.9552s N, 88 10m 46.4696s W"
55,39,Fond du Lac,Wisconsin,"43 45m 12.922s N, 88 29m 17.7472s W"
55,61,Kewaunee,Wisconsin,"44 30m 21.5791s N, 87 18m 26.1118s W"
48,369,Parmer,Texas,"34 31m 48.4079s N, 102 47m 4.3375s W"
20,167,Russell,Kansas,"38 54m 53.2038s N, 98 45m 44.4637s W"
22,83,Richland,Louisiana,"32 25m 4.05s N, 91 45m 48.5346s W"
1,133,Winston,Alabama,"34 8m 57.2104s N, 87 22m 25.2603s W"
48,155,Foard,Texas,"33 58m 28.6143s N, 99 46m 40.7456s W"
